location,address,url,code,coords
Dover,"Unit 1, St James Retail & Leisure Park, St James St, Dover CT16 1QD",https://www.cineworld.co.uk/cinemas/Dover/099#/buy-tickets-by-cinema?in-cinema=099&at=2023-04-14&view-mode=list,99,
Dundee,"Camperdown Leisure Park, Kingsway W, Dundee DD2 4TF",https://www.cineworld.co.uk/cinemas/Dundee/036#/buy-tickets-by-cinema?in-cinema=036&at=2023-04-14&view-mode=list,36,
Eastbourne at The Beacon,"The Beacon Shopping Centre, 37 Terminus Rd, Eastbourne BN21 3NW",https://www.cineworld.co.uk/cinemas/Eastbourne-at-The-Beacon/113#/buy-tickets-by-cinema?in-cinema=113&at=2023-04-14&view-mode=list,113,
Edinburgh,"130/3 Dundee St, Edinburgh EH11 1AF",https://www.cineworld.co.uk/cinemas/Edinburgh/037#/buy-tickets-by-cinema?in-cinema=037&at=2023-04-14&view-mode=list,37,"55.9398158, -3.2220612"
Ely,"Leisure Village, Downham Rd, Ely CB6 2WH",https://www.cineworld.co.uk/cinemas/Ely/097#/buy-tickets-by-cinema?in-cinema=097&at=2023-04-14&view-mode=list,97,
Falkirk,"Central Retail Park, Old Bison, Falkirk FK1 1LW",https://www.cineworld.co.uk/cinemas/Falkirk/052#/buy-tickets-by-cinema?in-cinema=052&at=2023-04-14&view-mode=list,52,
Glasgow-Parkhead,"1221 Gallowgate, Parkhead, Glasgow G31 4EB",https://www.cineworld.co.uk/cinemas/Glasgow-Parkhead/005#/buy-tickets-by-cinema?in-cinema=005&at=2023-04-14&view-mode=list,5,"55.854565699999995, -4.203804199999988"
Glasgow-Renfrew Street,"7 Renfrew St, Glasgow G2 3AB",https://www.cineworld.co.uk/cinemas/Glasgow-Renfrew-Street/057#/buy-tickets-by-cinema?in-cinema=057&at=2023-04-14&view-mode=list,57,"55.8649502, -4.2542605"
Glasgow-Silverburn,"Silverburn Shopping Centre, 763 Barrhead Rd, Glasgow G53 6AG",https://www.cineworld.co.uk/cinemas/Glasgow-Silverburn/088#/buy-tickets-by-cinema?in-cinema=088&at=2023-04-14&view-mode=list,88,
Gloucester Quays,"Quays Outlet Centre, Merchants' Rd, Gloucester GL1 5SH",https://www.cineworld.co.uk/cinemas/Gloucester-Quays/083#/buy-tickets-by-cinema?in-cinema=083&at=2023-04-14&view-mode=list,83,
Harlow-Harvey Centre,"Harvey Shopping Centre, Harlow CM20 1XR",https://www.cineworld.co.uk/cinemas/Harlow-Harvey-Centre/098#/buy-tickets-by-cinema?in-cinema=098&at=2023-04-14&view-mode=list,98,
Harlow-Queensgate,"The Queensgate Centre, Edinburgh Way, Harlow CM20 2DA",https://www.cineworld.co.uk/cinemas/Harlow-Queensgate/013#/buy-tickets-by-cinema?in-cinema=013&at=2023-04-14&view-mode=list,13,
Haverhill,"Ehringshausen Way, Haverhill CB9 0ER",https://www.cineworld.co.uk/cinemas/Haverhill/076#/buy-tickets-by-cinema?in-cinema=076&at=2023-04-14&view-mode=list,76,"52.0821748, 0.4419042"
Hemel Hempstead,"Jarman Park, Hemel Hempstead HP2 4JW",https://www.cineworld.co.uk/cinemas/Hemel-Hempstead/102#/buy-tickets-by-cinema?in-cinema=102&at=2023-04-14&view-mode=list,102,"51.7481414, -0.45563877550034615"
High Wycombe,"Denmark St, High Wycombe HP11 2DB",https://www.cineworld.co.uk/cinemas/High-Wycombe/073#/buy-tickets-by-cinema?in-cinema=073&at=2023-04-14&view-mode=list,73,"51.6301498, -0.7546757"
Hinckley,"The Crescent, Station Rd, Hinckley LE10 1AW",https://www.cineworld.co.uk/cinemas/Hinckley/092#/buy-tickets-by-cinema?in-cinema=092&at=2023-04-14&view-mode=list,92,
Hull,"Kingswood Retail Park, Gibraltar Rd, Hull HU7 3DB",https://www.cineworld.co.uk/cinemas/Hull/040#/buy-tickets-by-cinema?in-cinema=040&at=2023-04-14&view-mode=list,40,
Huntingdon,"Tower Fields, Abbots Ripton Rd, Sapley, Huntingdon PE29 7EG",https://www.cineworld.co.uk/cinemas/Huntingdon/043#/buy-tickets-by-cinema?in-cinema=043&at=2023-04-14&view-mode=list,43,
Ipswich,"Cardinal Park, 11 Grafton Way, Ipswich IP1 1AX",https://www.cineworld.co.uk/cinemas/Ipswich/028#/buy-tickets-by-cinema?in-cinema=028&at=2023-04-14&view-mode=list,28,
Jersey,"Waterfront Centre La, Rue de L'etau, JE2 4HE, Jersey",https://www.cineworld.co.uk/cinemas/Jersey/062#/buy-tickets-by-cinema?in-cinema=062&at=2023-04-14&view-mode=list,62,
Leeds-White Rose,"Dewsbury Rd, Leeds LS11 8LU",https://www.cineworld.co.uk/cinemas/Leeds-White-Rose/108#/buy-tickets-by-cinema?in-cinema=108&at=2023-04-14&view-mode=list,108,"53.7582868, -1.5699436"
Leigh,"The Loom, Spinning Jenny Wy, Leigh WN7 4PE",https://www.cineworld.co.uk/cinemas/Leigh/078#/buy-tickets-by-cinema?in-cinema=078&at=2023-04-14&view-mode=list,78,
